station_id,station_name,metric,hour,sample_time,value
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:30:00+08:00,
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:50:00+08:00,
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,9.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,9.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,10.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:30:00+08:00,
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,9.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,9.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,10.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
6,01A190,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:50:00+08:00,
7,01A200,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
7,01A200,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
7,01A200,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
7,01A200,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
